Route Number,Route Name,Route Milage,,
2,Mianus River Trails,Manually input miles,,
3,Rockefeller State Park,Manually input miles,, 
4,New York Central Park,Manually input miles,,
5,Tod’s Point Low Tide,Manually input miles,,
6,William K,1.03 miles ,,
7,Randy’s Note,2.03 miles ,,
8,Ric’s Warm Up Loop,2.15 miles ,,
9,Lost & Found,2.56 miles ,,
10,Tod’s Loop,2.60 miles,,
11,Easy Peasy Threesy,3.31 miles ,,
12,Grass Island Boatyard Run,3.65 miles ,,
13,Shorty,3.70 miles ,,
14,Bruce Park Lakes,3.70 miles ,,
15,Pier & Roger Sherman,3.77 miles ,,
16,Steve’s Loop,4.28 miles ,,
17, DJ’s Loop,4.57 miles,,
18, Indian Harbor Sunrise,4.86 miles,,
19,Five Waterviews,5.00 miles ,,
20,Y Fixx,5.20 miles ,,
21,Cos Cob Park,5.75 miles,,
22,Sound Beach Firehouse 6,6.10 miles ,,
23,Sidewalks & Paths,6.33 miles ,,
24,"Three Parks, One Hill",6.81 miles ,,
25,"Four Parks, One Hill",11.50 miles ,,
26,WK 3.0,3.32 miles,,
27,Old Church Loop,3.41 miles,,
28,Lake/North Maple Loop,3.50 miles,,
29,Reservoir Bridge,3.70 miles,,
30,Deirdre’s Loop,5.00 miles,,
31,Parsonage Road Loop,5.00 miles,,
32,Cemetery Roads,5.35 miles,,
33,East and West of North,5.40 miles,,
34,Belle Haven,5.60 miles,,
35,Lake to North,6.15 miles,,
36,Country Club Road 10K,6.25 miles,,
37,Shady Streets,6.77 miles,,
38,Pomerance,7.00 miles,,
39,Babcock Preserve,7.06 miles,,
40,Dave’s Lucky 7,7.20 miles,,
41,Private Road,7.60 miles,,
42,Round and Clapboard,8.30 miles,,
43,Hard Nine’s – 9’s,9.90 miles,,
44,Ana’s Loop,11.3 miles,,
45,Hamid’s Hills,13.50 miles,,
46,Back Country Roads,15.70 miles,,
50,GRR Marathon,26.2 miles,,
